last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Greinke, Zack,2019,R,3084,16.2,83.7,2517,7.1,-39.7,8.1,2.2,14.7,70.6,2445,12.4,-68.9,16.9,2.7,
Bowman, Matt,2019,R,549,17.6,89.3,2245,4.6,-28.2,8.3,1.6,11.4,80.6,2462,15.8,-43.7,16.2,1.6,
Sparkman, Glenn,2019,R,2272,9.8,82.3,2411,3.2,-42.0,4.8,1.7,16.5,79.1,2477,7.6,-56.2,14.6,2.2,
Poche, Colin,2019,L,869,,,,,,,,10.0,83.9,2493,-8.4,-35.0,9.4,1.5,
Gagnon, Drew,2019,R,401,3.7,84.4,2330,1.1,-39.3,2.3,1.5,9.7,79.1,2515,8.6,-54.6,13.4,1.7,
Alvarado, Jose,2019,L,586,,,,,,,,3.7,86.8,2523,-3.0,-40.5,5.6,1.4,
Allen, Cody,2019,R,491,,,,,,,,46.2,82.6,2534,8.8,-48.3,11.7,1.1,
Pagan, Emilio,2019,R,1075,,,,,,,,2.0,80.3,2544,7.6,-55.1,14.6,1.7,
Osuna, Roberto,2019,R,945,19.5,88.2,2495,6.8,-31.9,8.2,1.5,0.2,83.1,2565,5.5,-41.8,6.8,1.5,
Musgrove, Joe,2019,R,2654,22.0,83.2,2495,11.6,-40.4,11.8,1.2,9.4,82.1,2575,6.9,-52.4,12.7,1.3,
Festa, Matt,2019,R,381,39.3,86.2,2458,7.2,-32.1,9.6,1.5,7.3,81.7,2586,7.1,-47.7,9.3,1.6,
Erlin, Robbie,2019,L,959,10.2,88.2,2491,-2.0,-26.6,9.8,1.8,22.3,76.2,2598,-5.4,-65.8,18.2,1.6,
Perez, Martin,2019,L,2771,,,,,,,,4.7,79.2,2637,-5.1,-51.3,8.5,1.4,
Phelps, David,2019,R,641,,,,,,,,27.7,80.1,2648,10.1,-55.5,14.9,1.5,
